|8.15562000e+05|8.60748400e+06|6.96800500e+06|9.00214100e+06|
|1.72552700e+06|4.81283800e+06|8.81661000e+05|2.32924000e+06|
|3.51817000e+06|4.71964400e+06|1.86950100e+06|5.34323400e+06|
|4.69107900e+06|4.94646600e+06|3.52750900e+06|9.86074300e+06|
|5.28422800e+06|1.17196500e+06|1.00409300e+06|2.37067900e+06|
|1.05251500e+06|6.07394700e+06|4.43188000e+06|4.98562600e+06|
|7.83139800e+06|5.42450000e+05|6.12282000e+05|8.13377800e+06|
|8.65140800e+06|1.66544500e+06|4.54969900e+06|9.17958000e+06|
|3.12923600e+06|6.00566900e+06|6.48763800e+06|1.73017300e+06|
|9.40209800e+06|3.29235000e+06|4.12814000e+05|5.51131000e+05|
|4.81719000e+06|1.37843700e+06|2.00208000e+05|4.92339200e+06|
|6.11131800e+06|3.66651900e+06|2.42240700e+06|8.06957700e+06|
|4.34909000e+06|9.75286400e+06|4.74924800e+06|2.58362100e+06|
|3.34822000e+05|1.67917300e+06|6.31524100e+06|2.87050300e+06|
|2.99724300e+06|9.70881800e+06|8.09303100e+06|8.94959000e+05|
|2.80025900e+06|6.60184400e+06|4.98713600e+06|1.18294500e+06|
|1.41410100e+06|7.22132900e+06|8.76506300e+06|8.63180100e+06|
|9.48372400e+06|5.49098000e+06|3.19463000e+05|9.80700400e+06|
|5.06902900e+06|5.75162000e+06|1.34871500e+06|6.54599900e+06|
|5.73308700e+06|7.55423000e+06|2.87089900e+06|1.28339400e+06|
|2.70647000e+05|8.93028000e+05|1.30134900e+06|6.65907400e+06|
|8.88240300e+06|3.49914100e+06|8.77484600e+06|7.88192000e+05|
|5.73935500e+06|1.42656200e+06|9.97075900e+06|6.33430200e+06|
|9.48039200e+06|7.70632700e+06|4.50306800e+06|9.71879600e+06|
|6.55120900e+06|5.65734300e+06|8.20244700e+06|3.36247700e+06|
|9.94161600e+06|7.99791200e+06|9.34042100e+06|9.23842000e+05|
|3.23211800e+06|6.58022400e+06|8.77964000e+06|7.76114900e+06|
|8.55929000e+06|8.08983600e+06|1.03231000e+05|4.98654900e+06|
|3.61107000e+05|4.92129700e+06|8.24423100e+06|7.71333800e+06|
|6.88304500e+06|3.03261700e+06|7.82827700e+06|8.41603300e+06|
|8.68820000e+06|2.79353200e+06|5.05558000e+06|6.92332200e+06|
|9.50810600e+06|4.39322100e+06|7.97914100e+06|6.48763100e+06|
|2.16860900e+06|7.59602800e+06|2.10466100e+06|9.44897800e+06|
|8.55099600e+06|9.11190200e+06|6.19130000e+05|9.16245600e+06|
